Nr Camere,Suprafata,Etaj,Total Etaje,Sector,Scor,Pret
2,48,1,10,2,3,59900
3,110,2,2,1,1,229000
3,62,1,10,4,2,91000
2,55,4,4,3,2,78000
1,35,2,2,6,4,40500
3,100,5,5,2,2,100000
1,39,0,8,6,4,49000
2,56,3,9,3,4,79800
3,95,4,4,1,2,218000
2,57,6,10,2,5,65200
2,48.6,4,10,3,4,59500
3,98,8,8,4,2,129000
2,62,3,11,4,5,60500
2,37,-1,2,1,1,49500
4,93,8,8,5,1,138000
2,64.87,7,7,2,5,56000
3,78,3,4,3,2,85000
4,80,0,10,2,3,76000
3,78,2,11,6,4,99574
2,45,2,3,1,1,75000
1,47.19,5,6,3,2,75504
3,76,6,11,2,5,102000
2,56.46,10,13,1,1,165000
2,52,2,4,6,4,57990
2,47,2,10,1,1,92900
3,65,5,10,6,4,73000
2,64.19,4,4,1,2,109500
1,49,1,11,1,1,82447
1,45,6,8,6,5,63500
3,115,6,6,1,2,237000
2,47,8,8,3,4,60000
1,41,10,10,2,3,44000
2,59.85,1,11,2,5,79500
3,62,6,10,2,5,57000
3,76,1,8,2,2,172000
3,74,1,8,6,5,56000
3,86,5,5,1,1,165000
3,92.06,1,3,1,2,145927
2,50,1,5,3,4,42450
3,68,4,5,1,1,163000
2,50.93,1,3,2,3,57400
4,96,3,8,5,1,126000
2,56,3,4,4,5,59900
2,52,0,4,5,4,73500
2,46,5,5,1,4,61500
2,60,0,8,2,3,63499
2,57,3,4,1,1,89400
2,60.27,4,10,4,5,64000
1,48,3,8,3,2,88500
3,65.97,1,3,2,2,161907
2,101,0,1,2,3,184000
2,47,3,3,2,1,87000
2,63,13,16,2,1,125000
4,82,8,10,4,5,112000
2,54,1,4,1,1,111900
2,54.63,1,2,1,4,86500
2,59.67,1,4,1,4,69900
3,74.95,13,14,6,4,66957
3,90,3,3,1,1,135000
2,48.44,1,4,4,5,45400
2,58.01,5,10,1,1,170000
3,80,2,4,1,2,123000
2,49,5,10,4,5,48999
3,75,3,8,6,4,72000
2,51,0,4,1,1,90000
2,47,2,7,1,4,66000
2,53,8,10,6,4,56000
2,55,2,2,3,4,57700
2,56,2,6,3,4,105000
2,63,1,11,6,5,59900
3,66,1,2,1,2,130000
3,84.55,2,2,3,4,118500
1,32,8,10,6,4,36000
3,90,2,4,2,3,72100
3,69,5,8,2,3,82000
4,91,3,5,1,2,82600
3,130,0,8,6,4,89000
3,95,1,3,1,4,139000
1,44.06,1,5,5,5,55075
3,77,8,10,2,3,76000
2,50,3,4,6,5,68000
4,82,2,10,2,2,110000
4,199.3,10,10,1,2,248000
2,74,11,16,2,1,135000
2,54,4,4,6,4,54000
1,40,3,8,3,4,55000
2,59.35,2,2,3,4,80000
2,61,4,5,1,1,67150
3,63,4,7,1,1,105550
2,59.9,2,7,4,5,57500
3,67.62,5,5,4,5,57500
3,68,3,5,4,5,64900
3,70,1,8,4,5,65500
2,53,8,10,6,4,54900
2,64,0,4,1,1,127000
3,123.49,1,7,2,2,139000
3,87,3,7,4,5,78900
5,170,0,1,1,1,275000
2,64,7,10,5,5,53900
2,49.25,7,10,6,4,52900
3,84,1,5,1,2,133820
2,59,3,5,5,5,52672
2,53.75,5,5,3,4,91000
3,90,2,3,1,4,128000
5,180,1,2,1,1,299000
1,38,5,5,4,5,38000
2,52,4,6,6,4,55000
3,126,5,5,1,2,243000
2,64.77,1,3,3,2,105000
3,74.95,13,14,6,4,66957
1,45,1,5,4,5,36000
2,67,2,3,2,3,61000
2,64,1,5,1,1,95000
2,53,3,10,2,5,59500
2,57,4,5,3,4,49900
4,90,3,8,1,2,169000
2,57,4,5,3,2,139900
2,75,4,5,1,2,125539
3,93.9,3,8,6,4,85605
1,46,3,3,2,2,64204
1,40,9,11,3,4,49524
3,74,9,10,5,5,65900
3,74,5,10,5,5,66400
2,61.9,2,8,6,4,59470
2,50,0,4,4,5,60000
2,55,4,7,3,2,82000
3,77,0,4,4,5,82500
2,57,9,9,3,4,75200
3,75,2,5,4,5,73000
3,90,1,7,2,3,73715
2,52.37,4,7,1,1,120000
2,51,12,14,3,4,67500
3,96,2,5,2,3,146000
3,79,1,5,3,2,189000
3,96.3,6,12,1,1,269000
3,80,0,1,3,4,92000
3,100,4,7,4,2,129200
3,103,2,12,1,1,248000
1,43,1,4,6,4,42800
3,70,-1,5,2,3,57000
3,93,4,5,4,5,64600
2,53.6,1,5,2,3,51050
3,80.94,5,9,3,4,85000
1,28,1,1,6,4,22500
2,55,1,4,4,5,60500
1,30,1,4,3,4,39999
2,44,4,5,4,5,43500
3,79.9,2,3,6,4,100000
4,263,5,5,1,1,495000
2,50,1,3,4,5,45000
1,32,1,3,2,1,60900
2,59,7,9,3,4,78300
3,92,9,9,3,2,109000
3,80,1,8,3,2,170500
2,45.87,1,8,2,3,62000
2,58,0,3,1,1,76934
2,58,1,4,3,4,82950
2,46.3,0,11,1,1,64728
1,44,2,5,4,5,38000
2,54.3,1,11,2,1,118500
4,96,1,5,1,1,174839
2,60.25,2,9,6,4,70952
3,81.79,0,2,2,2,160000
2,51,0,3,3,4,46100
3,67.7,0,7,1,1,93426
2,67,3,3,3,4,49900
3,65,5,10,5,1,80100
2,46,2,3,3,4,40850
3,83,1,4,2,3,67200
4,143,2,5,1,1,273000
2,55,5,11,6,4,47900
3,80,0,3,1,4,106000
2,41.1,0,3,3,4,47500
2,51,6,8,6,4,55700
3,69,0,11,1,1,95312
3,78,2,7,3,4,88000
3,66.13,0,7,1,1,93426
3,72,2,11,4,5,73000
4,95,1,8,5,5,99000
2,66.5,2,6,5,5,57000
2,61,10,11,6,4,52500
4,110.1,2,11,4,2,185000
2,65,3,11,6,4,55900
2,53,1,7,6,4,46000
2,55,1,11,2,5,75000
3,97.5,2,6,1,1,169000
2,37.52,1,3,1,2,79000
3,112,0,1,6,4,84900
2,55,2,4,4,5,46600
3,80.28,0,2,1,2,96000
3,60,1,4,3,4,67000
1,35,1,4,1,4,43000
2,64,2,3,4,5,59993
2,61.75,2,11,1,1,64700
2,65,0,8,6,4,66500
4,89,8,8,3,4,89900
2,53,9,10,2,3,55990
3,66,5,10,6,4,65000
2,67,4,7,4,5,72000
2,55,1,3,4,5,45126
2,69.93,2,5,3,2,87413
2,52,7,7,4,2,81000
2,65.9,3,5,3,2,82375
2,46,1,5,6,4,49400
5,105,9,10,3,4,89000
3,150.24,5,6,1,1,390000
1,45.72,0,3,2,3,37000
2,56,1,8,3,2,115500
4,85,1,1,5,5,86000
2,38,1,5,1,1,47560
2,59,6,11,2,5,79500
2,56,2,11,6,4,71500
4,93,8,8,5,1,138000
2,52,0,2,4,5,46900
2,55,2,10,4,5,55000
3,86,3,3,3,4,59950
2,56,3,5,1,2,81360
1,31,5,10,6,4,38000
2,54,2,6,3,4,75500
4,90,4,8,3,2,159000
3,70,4,4,3,4,80000
1,40,0,10,1,2,67000
3,77,9,11,3,4,89500
3,84,4,4,1,2,143000
2,64.87,4,7,2,5,56953
2,46,3,6,1,1,59080
4,90,8,8,5,1,69900
2,56.3,10,11,3,4,75000
3,135,0,12,2,3,259000
3,73.25,8,11,2,5,103000
4,105,1,8,5,1,170400
1,32,1,4,4,5,47000
1,40,4,5,3,4,37000
3,82,1,4,1,1,140000
2,56.61,8,8,2,3,72000
6,106.95,1,2,1,2,128000
2,67,3,7,4,5,76500
3,83,4,9,3,4,120500
3,87,17,18,1,4,110000
3,81,2,4,3,4,83900
2,60.52,5,9,6,4,48416
1,38.71,1,6,6,4,43000
1,32.93,2,3,6,4,26600
3,74.95,13,14,6,4,66957
2,51,2,3,6,4,41800
3,81,7,8,3,2,155100
1,32.93,1,3,6,4,26600
3,80,2,6,1,2,103500
2,74.95,13,14,6,4,64457
1,32.86,2,3,6,4,26600
3,70,4,4,1,4,86900
2,53.74,2,6,6,4,60000
3,90,4,4,3,4,86000
3,143,0,5,4,5,79900
3,86,1,4,3,4,86900
2,61,1,3,4,5,69900
2,58.19,1,6,1,1,120089
2,53,0,5,4,5,58900
3,84.58,2,6,1,1,175824
3,94.77,-1,6,1,1,196970
3,90,2,2,3,4,66900
2,51.97,2,3,2,3,56500
3,72.27,6,10,6,4,79500
